iter	Passed	Remaining
407	6159	8937
408	6173	8920
409	6187	8904
410	6201	8887
411	6215	8871
412	6230	8854
413	6244	8838
414	6258	8821
415	6272	8805
416	6287	8790
417	6301	8774
418	6316	8758
419	6330	8741
420	6343	8724
421	6358	8709
422	6372	8693
423	6387	8677
424	6401	8661
425	6415	8644
426	6429	8628
427	6443	8611
428	6458	8595
429	6472	8579
430	6485	8562
431	6499	8546
432	6514	8529
433	6528	8513
434	6542	8497
435	6556	8481
436	6570	8465
437	6590	8456
438	6605	8440
439	6619	8424
440	6634	8409
441	6648	8393
442	6662	8377
443	6676	8360
444	6691	8345
445	6710	8335
446	6724	8319
447	6738	8303
448	6752	8287
449	6767	8271
450	6781	8255
451	6797	8241
452	6817	8232
453	6848	8236
454	6878	8239
455	6907	8240
456	6922	8224
457	6936	8208
458	6950	8192
459	6965	8176
460	6979	8160
461	6994	8144
462	7008	8128
463	7022	8112
464	7036	8096
465	7051	8080
466	7065	8064
467	7090	8060
468	7123	8065
469	7141	8053
470	7161	8043
471	7175	8027
472	7190	8011
473	7209	8000
474	7230	7991
475	7251	7983
476	7281	7983
477	7333	8008
478	7365	8011
479	7379	7994
480	7393	7977
481	7407	7960
482	7422	7944
483	7436	7928
484	7451	7912
485	7465	7895
486	7479	7879
487	7493	7862
488	7518	7856
489	7547	7855
490	7571	7848
491	7590	7836
492	7604	7820
493	7618	7803
494	7632	7786
495	7646	7770
496	7661	7754
497	7675	7737
498	7689	7720
499	7704	7704
500	7718	7687
501	7732	7670
502	7746	7654
503	7760	7637
504	7774	7620
505	7788	7603
506	7802	7587
507	7817	7570
508	7831	7554
509	7845	7537
510	7859	7521
511	7874	7505
512	7888	7489
513	7903	7472
514	7922	7461
515	7937	7444
516	7953	7430
517	7967	7414
518	7982	7398
519	7996	7381
520	8010	7364
521	8025	7348
522	8039	7332
523	8053	7315
524	8067	7298
525	8081	7282
526	8095	7265
527	8110	7250
528	8135	7243
529	8165	7241
530	8192	7235
531	8213	7225
532	8246	7225
